ID,Brand,Model,Varient,Manufacture Year,Driven Kilometers,Fuel,Number of Owner,Body Type,Location,Price
1,Maruti,Alto,K10 VXI,2018,5198,Petrol,First Owner,Hatchback,Delhi,343799
2,Maruti,Celerio,VXI AMT,2015,27739,Petrol,First Owner,Hatchback,Delhi,371199
3,Hyundai,i20,SPORTZ 1.2 VTVT,2014,25187,Petrol,First Owner,Hatchback,Delhi,360099
4,Maruti,S,PRESSO VXI PLUS,2020,7556,Petrol,First Owner,Hatchback,Delhi,415999
5,Maruti,Swift,ZDI,2013,24022,Diesel,First Owner,Hatchback,Delhi,394199
6,Honda,Brio,1.2 VX AT I VTEC,2015,22774,Petrol,First Owner,Hatchback,Delhi,420599
7,Maruti,Alto,800 LXI,2017,8501,Petrol,First Owner,Hatchback,Delhi,309499
8,Hyundai,Grand,i10 Sportz(O) 1.2 MT,2017,19994,Petrol,Second Owner,Hatchback,Delhi,452899
9,Maruti,Alto,K10 LXI,2015,10957,Petrol,First Owner,Hatchback,Delhi,302099
10,Maruti,Swift,LXI,2019,8997,Petrol,First Owner,Hatchback,Delhi,515199
11,Maruti,Ritz,VDI Elate Limited Edition,2014,29959,Diesel,First Owner,Hatchback,Delhi,379699
12,Maruti,Swift,LXI OPT,2017,15528,Petrol,First Owner,Hatchback,Delhi,454399
13,Maruti,Swift,VDI,2013,11019,Diesel,First Owner,Hatchback,Delhi,371399
14,Maruti,Alto,K10 VXI (O) AMT,2017,9036,Petrol,First Owner,Hatchback,Delhi,360699
15,Maruti,Zen,Estilo LXI,2011,39300,Petrol,Second Owner,Hatchback,Delhi,197599
16,Maruti,Alto,K10 LXI,2017,32669,Petrol,First Owner,Hatchback,Delhi,271499
17,Maruti,Alto,LXI,2010,29645,Petrol,First Owner,Hatchback,Delhi,185299
18,Datsun,Redi,Go T (O),2017,27979,Petrol,First Owner,Hatchback,Delhi,202499
19,Maruti,Swift,LXI,2012,31999,Petrol,First Owner,Hatchback,Delhi,321499
20,Hyundai,i20,MAGNA O 1.2,2013,39788,Petrol,First Owner,Hatchback,Delhi,339799
21,Maruti,Alto,800 LXI,2014,31745,Petrol,First Owner,Hatchback,Delhi,258999
22,Maruti,Swift,VDI ABS,2017,16646,Diesel,First Owner,Hatchback,Delhi,479299
23,Maruti,Swift,ZXI,2012,15538,Petrol,First Owner,Hatchback,Delhi,444699
24,Hyundai,Grand,i10 MAGNA 1.2 VTVT,2017,27050,Petrol,First Owner,Hatchback,Delhi,379499
25,Honda,Brio,1.2 S MT I VTEC,2012,39831,Petrol,Second Owner,Hatchback,Delhi,281799
26,Maruti,Alto,800 LXI,2017,9527,Petrol,First Owner,Hatchback,Delhi,309299
27,Renault,Kwid,RXT Opt,2018,23811,Petrol,First Owner,Hatchback,Delhi,294399
28,Maruti,Celerio,VXI AMT,2016,24250,Petrol,First Owner,Hatchback,Delhi,371099
29,Maruti,Alto,800 LXI,2016,21305,Petrol,First Owner,Hatchback,Delhi,305899
30,Maruti,Alto,K10 VXI (O) AMT,2017,20764,Petrol,Second Owner,Hatchback,Delhi,369299
31,Maruti,Swift,VXI,2012,34092,Petrol,First Owner,Hatchback,Delhi,329399
