id=1, brand=Maruti, model=Alto, varient=K10 VXI, year=2018, drivenKilometers=5198, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=343799
id=7, brand=Maruti, model=Alto, varient=800 LXI, year=2017, drivenKilometers=8501, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=309499
id=9, brand=Maruti, model=Alto, varient=K10 LXI, year=2015, drivenKilometers=10957, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=302099
id=14, brand=Maruti, model=Alto, varient=K10 VXI (O) AMT, year=2017, drivenKilometers=9036, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=360699
id=16, brand=Maruti, model=Alto, varient=K10 LXI, year=2017, drivenKilometers=32669, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=271499
id=17, brand=Maruti, model=Alto, varient=LXI, year=2010, drivenKilometers=29645, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=185299
id=21, brand=Maruti, model=Alto, varient=800 LXI, year=2014, drivenKilometers=31745, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=258999
id=26, brand=Maruti, model=Alto, varient=800 LXI, year=2017, drivenKilometers=9527, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=309299
id=29, brand=Maruti, model=Alto, varient=800 LXI, year=2016, drivenKilometers=21305, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=305899
id=30, brand=Maruti, model=Alto, varient=K10 VXI (O) AMT, year=2017, drivenKilometers=20764, fuel=Petrol, ownerType=Second Owner, bodyType=Hatchback, location=Delhi, price=369299
id=32, brand=Maruti, model=Alto, varient=800 VXI, year=2016, drivenKilometers=24069, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=280799
id=33, brand=Maruti, model=Alto, varient=LXI, year=2010, drivenKilometers=56231, fuel=Petrol, ownerType=Second Owner, bodyType=Hatchback, location=Delhi, price=174199
id=36, brand=Maruti, model=Alto, varient=K10 VXI, year=2011, drivenKilometers=24353, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=208799
id=37, brand=Maruti, model=Alto, varient=K10 VXI, year=2012, drivenKilometers=43148, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=213899
id=40, brand=Maruti, model=Alto, varient=K10 LXI, year=2012, drivenKilometers=33175, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=240799
id=50, brand=Maruti, model=Alto, varient=K10 LXI, year=2012, drivenKilometers=42321, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=201099
id=51, brand=Maruti, model=Alto, varient=K10 VXI, year=2017, drivenKilometers=18905, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=340799
id=57, brand=Maruti, model=Alto, varient=800 LXI, year=2017, drivenKilometers=23227, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=267199
id=61, brand=Maruti, model=Alto, varient=800 LXI, year=2018, drivenKilometers=10123, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=283199
id=62, brand=Maruti, model=Alto, varient=K10 LXI, year=2016, drivenKilometers=32519, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=295399
id=64, brand=Maruti, model=Alto, varient=K10 VXI, year=2017, drivenKilometers=30113, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=306999
id=65, brand=Maruti, model=Alto, varient=K10 VXI, year=2015, drivenKilometers=46683, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=263399
id=67, brand=Maruti, model=Alto, varient=800 VXI, year=2016, drivenKilometers=32339, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=269599
id=71, brand=Maruti, model=Alto, varient=LXI, year=2009, drivenKilometers=35919, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=171699
id=78, brand=Maruti, model=Alto, varient=K10 VXI, year=2018, drivenKilometers=3212, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=367999
id=79, brand=Maruti, model=Alto, varient=800 VXI, year=2014, drivenKilometers=37134, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=256399
id=80, brand=Maruti, model=Alto, varient=K10 VXI, year=2014, drivenKilometers=51228, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=260499
id=81, brand=Maruti, model=Alto, varient=K10 VXI, year=2011, drivenKilometers=51523, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=228799
id=92, brand=Maruti, model=Alto, varient=K10 VXI, year=2010, drivenKilometers=63843, fuel=Petrol, ownerType=Third Owner, bodyType=Hatchback, location=Delhi, price=173799
