id =1, brand=Maruti, model=Alto, Manufacture Year=2018, price=343799
id =2, brand=Maruti, model=Celerio, Manufacture Year=2015, price=371199
id =3, brand=Hyundai, model=i20, Manufacture Year=2014, price=360099
id =4, brand=Maruti, model=S, Manufacture Year=2020, price=415999
id =5, brand=Maruti, model=Swift, Manufacture Year=2013, price=394199
id =6, brand=Honda, model=Brio, Manufacture Year=2015, price=420599
id =7, brand=Maruti, model=Alto, Manufacture Year=2017, price=309499
id =8, brand=Hyundai, model=Grand, Manufacture Year=2017, price=452899
id =9, brand=Maruti, model=Alto, Manufacture Year=2015, price=302099
id =10, brand=Maruti, model=Swift, Manufacture Year=2019, price=515199
id =11, brand=Maruti, model=Ritz, Manufacture Year=2014, price=379699
id =12, brand=Maruti, model=Swift, Manufacture Year=2017, price=454399
id =13, brand=Maruti, model=Swift, Manufacture Year=2013, price=371399
id =14, brand=Maruti, model=Alto, Manufacture Year=2017, price=360699
id =19, brand=Maruti, model=Swift, Manufacture Year=2012, price=321499
id =20, brand=Hyundai, model=i20, Manufacture Year=2013, price=339799
id =22, brand=Maruti, model=Swift, Manufacture Year=2017, price=479299
id =23, brand=Maruti, model=Swift, Manufacture Year=2012, price=444699
id =24, brand=Hyundai, model=Grand, Manufacture Year=2017, price=379499
id =26, brand=Maruti, model=Alto, Manufacture Year=2017, price=309299
id =28, brand=Maruti, model=Celerio, Manufacture Year=2016, price=371099
id =29, brand=Maruti, model=Alto, Manufacture Year=2016, price=305899
id =30, brand=Maruti, model=Alto, Manufacture Year=2017, price=369299
id =31, brand=Maruti, model=Swift, Manufacture Year=2012, price=329399
id =35, brand=Datsun, model=Redi, Manufacture Year=2018, price=362499
id =38, brand=Maruti, model=Swift, Manufacture Year=2013, price=357599
id =39, brand=Maruti, model=Swift, Manufacture Year=2013, price=342499
id =41, brand=Maruti, model=Swift, Manufacture Year=2012, price=325099
id =42, brand=Hyundai, model=Grand, Manufacture Year=2016, price=374499
id =44, brand=Maruti, model=Baleno, Manufacture Year=2016, price=459099
id =45, brand=Hyundai, model=Grand, Manufacture Year=2013, price=382299
id =46, brand=Maruti, model=Swift, Manufacture Year=2012, price=326099
id =48, brand=Renault, model=Kwid, Manufacture Year=2019, price=368099
id =49, brand=Maruti, model=Swift, Manufacture Year=2013, price=330599
id =51, brand=Maruti, model=Alto, Manufacture Year=2017, price=340799
id =53, brand=Maruti, model=Celerio, Manufacture Year=2014, price=300399
id =54, brand=Hyundai, model=Elite, Manufacture Year=2015, price=506199
id =55, brand=Hyundai, model=Grand, Manufacture Year=2013, price=380499
id =58, brand=Volkswagen, model=Polo, Manufacture Year=2013, price=306399
id =60, brand=Hyundai, model=Elite, Manufacture Year=2014, price=447099
id =63, brand=Maruti, model=Wagon, Manufacture Year=2018, price=378199
id =64, brand=Maruti, model=Alto, Manufacture Year=2017, price=306999
