id =1, brand=Maruti, model=Alto, Manufacture Year=2018, location=Delhi
id =2, brand=Maruti, model=Celerio, Manufacture Year=2015, location=Delhi
id =3, brand=Hyundai, model=i20, Manufacture Year=2014, location=Delhi
id =4, brand=Maruti, model=S, Manufacture Year=2020, location=Delhi
id =5, brand=Maruti, model=Swift, Manufacture Year=2013, location=Delhi
id =6, brand=Honda, model=Brio, Manufacture Year=2015, location=Delhi
id =7, brand=Maruti, model=Alto, Manufacture Year=2017, location=Delhi
id =8, brand=Hyundai, model=Grand, Manufacture Year=2017, location=Delhi
id =9, brand=Maruti, model=Alto, Manufacture Year=2015, location=Delhi
id =10, brand=Maruti, model=Swift, Manufacture Year=2019, location=Delhi
id =11, brand=Maruti, model=Ritz, Manufacture Year=2014, location=Delhi
id =12, brand=Maruti, model=Swift, Manufacture Year=2017, location=Delhi
id =13, brand=Maruti, model=Swift, Manufacture Year=2013, location=Delhi
id =14, brand=Maruti, model=Alto, Manufacture Year=2017, location=Delhi
id =15, brand=Maruti, model=Zen, Manufacture Year=2011, location=Delhi
id =16, brand=Maruti, model=Alto, Manufacture Year=2017, location=Delhi
id =17, brand=Maruti, model=Alto, Manufacture Year=2010, location=Delhi
id =18, brand=Datsun, model=Redi, Manufacture Year=2017, location=Delhi
id =19, brand=Maruti, model=Swift, Manufacture Year=2012, location=Delhi
id =20, brand=Hyundai, model=i20, Manufacture Year=2013, location=Delhi
id =21, brand=Maruti, model=Alto, Manufacture Year=2014, location=Delhi
id =22, brand=Maruti, model=Swift, Manufacture Year=2017, location=Delhi
id =23, brand=Maruti, model=Swift, Manufacture Year=2012, location=Delhi
id =24, brand=Hyundai, model=Grand, Manufacture Year=2017, location=Delhi
id =25, brand=Honda, model=Brio, Manufacture Year=2012, location=Delhi
id =26, brand=Maruti, model=Alto, Manufacture Year=2017, location=Delhi
id =27, brand=Renault, model=Kwid, Manufacture Year=2018, location=Delhi
id =28, brand=Maruti, model=Celerio, Manufacture Year=2016, location=Delhi
id =29, brand=Maruti, model=Alto, Manufacture Year=2016, location=Delhi
id =30, brand=Maruti, model=Alto, Manufacture Year=2017, location=Delhi
id =31, brand=Maruti, model=Swift, Manufacture Year=2012, location=Delhi
id =32, brand=Maruti, model=Alto, Manufacture Year=2016, location=Delhi
id =33, brand=Maruti, model=Alto, Manufacture Year=2010, location=Delhi
id =34, brand=Maruti, model=A, Manufacture Year=2010, location=Delhi
id =35, brand=Datsun, model=Redi, Manufacture Year=2018, location=Delhi
id =36, brand=Maruti, model=Alto, Manufacture Year=2011, location=Delhi
id =37, brand=Maruti, model=Alto, Manufacture Year=2012, location=Delhi
id =38, brand=Maruti, model=Swift, Manufacture Year=2013, location=Delhi
id =39, brand=Maruti, model=Swift, Manufacture Year=2013, location=Delhi
id =40, brand=Maruti, model=Alto, Manufacture Year=2012, location=Delhi
id =41, brand=Maruti, model=Swift, Manufacture Year=2012, location=Delhi
id =42, brand=Hyundai, model=Grand, Manufacture Year=2016, location=Delhi
id =43, brand=Maruti, model=Zen, Manufacture Year=2010, location=Delhi
id =44, brand=Maruti, model=Baleno, Manufacture Year=2016, location=Delhi
id =45, brand=Hyundai, model=Grand, Manufacture Year=2013, location=Delhi
id =46, brand=Maruti, model=Swift, Manufacture Year=2012, location=Delhi
id =47, brand=Maruti, model=Ritz, Manufacture Year=2010, location=Delhi
id =48, brand=Renault, model=Kwid, Manufacture Year=2019, location=Delhi
id =49, brand=Maruti, model=Swift, Manufacture Year=2013, location=Delhi
id =50, brand=Maruti, model=Alto, Manufacture Year=2012, location=Delhi
id =51, brand=Maruti, model=Alto, Manufacture Year=2017, location=Delhi
