Car [id=1, brand=Maruti, model=Alto, varient=K10 VXI, year=2018, drivenKilometers=5198, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=343799 ]
Car [id=2, brand=Maruti, model=Celerio, varient=VXI AMT, year=2015, drivenKilometers=27739, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=371199 ]
Car [id=3, brand=Hyundai, model=i20, varient=SPORTZ 1.2 VTVT, year=2014, drivenKilometers=25187, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=360099 ]
Car [id=4, brand=Maruti, model=S, varient=PRESSO VXI PLUS, year=2020, drivenKilometers=7556, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=415999 ]
Car [id=5, brand=Maruti, model=Swift, varient=ZDI, year=2013, drivenKilometers=24022, fuel=Diesel, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=394199 ]
Car [id=6, brand=Honda, model=Brio, varient=1.2 VX AT I VTEC, year=2015, drivenKilometers=22774, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=420599 ]
Car [id=7, brand=Maruti, model=Alto, varient=800 LXI, year=2017, drivenKilometers=8501, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=309499 ]
Car [id=9, brand=Maruti, model=Alto, varient=K10 LXI, year=2015, drivenKilometers=10957, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=302099 ]
Car [id=10, brand=Maruti, model=Swift, varient=LXI, year=2019, drivenKilometers=8997, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=515199 ]
Car [id=11, brand=Maruti, model=Ritz, varient=VDI Elate Limited Edition, year=2014, drivenKilometers=29959, fuel=Diesel, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=379699 ]
Car [id=12, brand=Maruti, model=Swift, varient=LXI OPT, year=2017, drivenKilometers=15528, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=454399 ]
Car [id=13, brand=Maruti, model=Swift, varient=VDI, year=2013, drivenKilometers=11019, fuel=Diesel, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=371399 ]
Car [id=14, brand=Maruti, model=Alto, varient=K10 VXI (O) AMT, year=2017, drivenKilometers=9036, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=360699 ]
Car [id=16, brand=Maruti, model=Alto, varient=K10 LXI, year=2017, drivenKilometers=32669, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=271499 ]
Car [id=17, brand=Maruti, model=Alto, varient=LXI, year=2010, drivenKilometers=29645, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=185299 ]
Car [id=18, brand=Datsun, model=Redi, varient=Go T (O), year=2017, drivenKilometers=27979, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=202499 ]
